종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"094480","갤럭시아머니트리","KOSDAQ","우량기업부","10250","-350","-3.30","10350","10700","10100","394874","4091201300","402105839500","39229838"
"011420","갤럭시아에스엠","KOSPI",,"2550","15","0.59","2555","2595","2505","247515","633397490","70251592200","27549644"
"039240","경남스틸","KOSDAQ","우량기업부","3885","-135","-3.36","3930","3985","3650","1242090","4827308460","97125000000","25000000"
"053950","경남제약","KOSDAQ","중견기업부","3960","15","0.38","3935","4000","3900","82606","327193420","79396277400","20049565"
"223310","경남제약헬스케어","KOSDAQ","관리종목(소속부없음)","3320","0","0.00","0","0","0","0","0","44267239920","13333506"
"002100","경농","KOSPI",,"11750","-150","-1.26","11800","11950","11700","21636","255596400","229390256250","19522575"
"009450","경동나비엔","KOSPI",,"50500","-1800","-3.44","52100","52100","50000","59726","3033319600","735713896000","14568592"
"267290","경동도시가스","KOSPI",,"21950","0","0.00","21950","22000","21800","3076","67391600","129404161700","5895406"
"012320","경동인베스트","KOSPI",,"35250","400","1.15","34850","35400","34850","1108","38928000","83367060750","2365023"
"011040","경동제약","KOSDAQ","우량기업부","10450","-100","-0.95","10450","10650","10400","261031","2739020300","321533604700","30768766"
"000050","경방","KOSPI",,"14650","-50","-0.34","14600","14750","14550","13204","193112950","401633705500","27415270"
"214390","경보제약","KOSPI",,"9300","-210","-2.21","9500","9510","9300","27550","258926770","222333798000","23906860"
"012610","경인양행","KOSPI",,"6230","-10","-0.16","6270","6300","6180","91091","565266550","259020753950","41576365"
"009140","경인전자","KOSPI",,"33550","1850","5.84","31850","33650","31700","11758","385367050","52700239350","1570797"
"024910","경창산업","KOSDAQ","중견기업부","3260","-95","-2.83","3320","3380","3260","87071","286721225","116769956300","35819005"
"013580","계룡건설","KOSPI",,"31800","-1200","-3.64","32250","32700","31450","174723","5561276650","284002842600","8930907"
"012200","계양전기","KOSPI",,"3990","-60","-1.48","4010","4035","3965","93440","372252425","130074000000","32600000"
"012205","계양전기우","KOSPI",,"6750","50","0.75","6700","6790","6610","4034","27086910","9450000000","1400000"
"002140","고려산업","KOSPI",,"3305","100","3.12","3185","3370","3165","1073901","3527106460","82424799625","24939425"
"198440","고려시멘트","KOSDAQ","우량기업부","3750","-50","-1.32","3755","3815","3705","216990","811861715","119924850000","31979960"
"049720","고려신용정보","KOSDAQ","중견기업부","7930","-260","-3.17","8180","8180","7830","54594","435470220","113399000000","14300000"
"010130","고려아연","KOSPI",,"557000","9000","1.64","548000","561000","540000","55707","30780587000","10510590000000","18870000"
"002240","고려제강","KOSPI",,"20300","-100","-0.49","20050","20400","19900","24655","494379550","466900000000","23000000"
"014570","고려제약","KOSDAQ","우량기업부","8250","-50","-0.60","8300","8350","8140","18055","148478690","90750000000","11000000"
"348150","고바이오랩","KOSDAQ","기술성장기업부","19750","-100","-0.50","20200","20400","19700","98731","1976245250","321343540250","16270559"
